"","ensembl","beta","p.value","prod"
"110","FBgn0000384",0.00872780303626348,0.448170624524313,0.00304213346374925
"9385","FBgn0050410",0.00357082795141399,0.448403775916448,0.00124382913900326
"6309","FBgn0035971",0.00683795408098433,0.448791650863528,0.00237930189259451
"11108","FBgn0262004",0.00844701860768749,0.448845486979372,0.00293874427337124
"10135","FBgn0053260",0.000861061821530357,0.448893075384618,0.000299526462961288
"8124","FBgn0038950",0.00496038195282309,0.448917989754597,0.00172538448872951
"11536","FBgn0265974",0.0061763107352076,0.449600566956065,0.00214424925198608
"8612","FBgn0039754",0.0040840216521627,0.449753134266282,0.00141726088691865
"10184","FBgn0053516",0.00108245215701755,0.449895770126726,0.000375489761271583
"10606","FBgn0087040",0.0018068621815903,0.449956980444477,0.00062667221502134
"10418","FBgn0085331",0.00392808351585325,0.450663308364431,0.00135969746497104
"10933","FBgn0261262",0.00116660374421509,0.450894750631135,0.000403557191127929
"103","FBgn0000356",0.00431294893907089,0.451241710283499,0.00149051531633138
"4184","FBgn0032175",0.00771591904969248,0.451815242736093,0.00266229393065862
"7923","FBgn0038607",1.52644888517457e-06,0.451866925630653,5.26608754726219e-07
"2869","FBgn0029966",6.44829900373229e-05,0.452084178419765,2.22324899075889e-05
"8904","FBgn0040600",0.00295501138925355,0.452394577179967,0.00101795003468186
"6370","FBgn0036085",0.00402752723764878,0.452401431255699,0.00138738659262947
"1533","FBgn0017545",0.00182197728919849,0.45266167754676,0.000627172448891352
"10378","FBgn0085253",0.00571281840079236,0.453111170590699,0.001964039721691
"5395","FBgn0034323",0.0039596660967225,0.453470500734921,0.00135995112024822
"6319","FBgn0035986",0.00244954746877834,0.453534599002754,0.000841149066982239
"10547","FBgn0086656",0.00182337018398265,0.453607718798682,0.000625998656386913
"10167","FBgn0053465",0.00676706752371038,0.453723198034783,0.00232251858254096
"1639","FBgn0020618",0.00277104979307821,0.453898243697662,0.0009505850712242
"11136","FBgn0262167",0.00334043502171837,0.453901061609813,0.00114589882634939
"8476","FBgn0039538",4.61719494199283e-06,0.454203233726524,1.58254254190611e-06
"6681","FBgn0036581",0.00355978939249659,0.45430255351921,0.00121977900106912
"5598","FBgn0034667",0.00518254240792936,0.454778102023236,0.00177346837084211
"3726","FBgn0031431",0.00810459662370351,0.455121178064107,0.00277074239750807
"9505","FBgn0051216",0.00248886484306653,0.45547767230027,0.000850029246128393
"9170","FBgn0044826",0.00482460592416612,0.455561064295256,0.00164737810181281
"6449","FBgn0036213",0.00341127346953617,0.456303523502321,0.00116237839570542
"7786","FBgn0038380",0.00569812768667578,0.457484667291876,0.00193521782244821
"6767","FBgn0036730",0.00679689375963558,0.457642365152128,0.00230736720716718
"9003","FBgn0040985",0.001593294825603,0.457718413389,0.000540766838805386
"9969","FBgn0052576",0.00107215824843681,0.457753638896768,0.000363856409101288
"7897","FBgn0038565",0.00175800049754773,0.457784388594935,0.000596558169089805
"10769","FBgn0259927",0.000758951233875363,0.457876764051138,0.000257475264926293
"5315","FBgn0034182",0.000686398010191546,0.457899520461066,0.000232846667467407
"3612","FBgn0031238",0.00446132522592321,0.458021719284444,0.00151289751860875
"793","FBgn0004838",0.00211166544645461,0.458178408990564,0.000715781480865361
"9130","FBgn0043456",0.00129978191083442,0.458209129531146,0.000440543222291255
"10219","FBgn0053928",0.00592299194796055,0.458645250408773,0.00200506959286377
"5088","FBgn0033791",0.00218087975909057,0.458737727879991,0.000738087220688535
