"","ensembl","p.value"
"622","FBgn0030608",0.0438951602512197
"623","FBgn0052726",0.0440675986644822
"624","FBgn0052698",0.0441376914629522
"625","FBgn0032253",0.0441387198127905
"626","FBgn0005648",0.0442485194181429
"627","FBgn0016032",0.0444963068389955
"628","FBgn0004855",0.0447807864412277
"629","FBgn0040362",0.0448107276155535
"630","FBgn0030539",0.0448457990069387
"631","FBgn0028746",0.0448499882514087
"632","FBgn0028675",0.0449796740768574
"633","FBgn0030040",0.0449871226201233
"634","FBgn0035476",0.0450923541622831
"635","FBgn0030157",0.0453050532414198
"636","FBgn0040391",0.0453296372918895
"637","FBgn0029838",0.0456315825886918
"638","FBgn0038100",0.0457425610431076
"639","FBgn0085489",0.0458389922358195
"640","FBgn0010416",0.0458737519364092
"641","FBgn0030628",0.0459508512992395
"642","FBgn0001941",0.046070309710505
"643","FBgn0040588",0.0461017864317789
"644","FBgn0259228",0.0461348539771098
"645","FBgn0035957",0.0462626286469535
"646","FBgn0031538",0.0464642879747364
"647","FBgn0030114",0.0470651502790824
"648","FBgn0052718",0.0471591629482204
"649","FBgn0000719",0.0471639471593602
"650","FBgn0010287",0.0472159010009006
"651","FBgn0002645",0.0473707074931327
"652","FBgn0014026",0.0474002707239734
"653","FBgn0012058",0.0475793582842372
"654","FBgn0259242",0.047596105922355
"655","FBgn0000053",0.0476629599562227
"656","FBgn0037461",0.0476957066112394
"657","FBgn0020622",0.04777497208227
"658","FBgn0034354",0.0478324330027929
"659","FBgn0023170",0.0479922030083204
"660","FBgn0003132",0.0481906290218501
"661","FBgn0029948",0.0482623163299575
"662","FBgn0259789",0.0482999453649204
"663","FBgn0030105",0.0483961904811741
"664","FBgn0014863",0.0484139036982905
"665","FBgn0024912",0.0484190268535537
"666","FBgn0034638",0.0484772509711757
"667","FBgn0035688",0.0490697746564968
"668","FBgn0016675",0.0492953003894383
"669","FBgn0030028",0.0493247451287262
"670","FBgn0020909",0.0494424281201573
"671","FBgn0085282",0.0495525205664077
"672","FBgn0000644",0.049789781955731
"673","FBgn0038865",0.050081311445538
"674","FBgn0033980",0.0501822424367849
"675","FBgn0054015",0.0501996266047186
"676","FBgn0052695",0.050205747509966
"677","FBgn0026085",0.0502995452530924
"678","FBgn0034329",0.0505752846026579
"679","FBgn0043534",0.050645654174865
"680","FBgn0011726",0.0508397943273087
"681","FBgn0010435",0.0509125848748622
"682","FBgn0003048",0.0509247134281639
"683","FBgn0036192",0.0509624262294193
"684","FBgn0038981",0.0509738540436008
"685","FBgn0262607",0.0511223515836174
"686","FBgn0029740",0.0511590666180879
"687","FBgn0028984",0.0512923242803533
"688","FBgn0030328",0.0514714674839333
"689","FBgn0030766",0.0515778208840287
"690","FBgn0005427",0.0516543077973452
"691","FBgn0037985",0.0524003577234181
"692","FBgn0003285",0.0525885709197694
"693","FBgn0264750",0.0529043970048727
"694","FBgn0026149",0.0530260183141251
"695","FBgn0030562",0.0531931156471216
