,x
1206,FBgn0014076
1207,FBgn0014092
1208,FBgn0014127
1209,FBgn0014133
1210,FBgn0014135
1211,FBgn0014141
1212,FBgn0014143
1213,FBgn0014163
1214,FBgn0014179
1215,FBgn0014184
1216,FBgn0014189
1217,FBgn0014269
1218,FBgn0014340
1219,FBgn0014342
1220,FBgn0014343
1221,FBgn0014366
1222,FBgn0014368
1223,FBgn0014380
1224,FBgn0014388
1225,FBgn0014391
1226,FBgn0014395
1227,FBgn0014396
1228,FBgn0014411
1229,FBgn0014417
1230,FBgn0014427
1231,FBgn0014455
1232,FBgn0014464
1233,FBgn0014465
1234,FBgn0014466
1235,FBgn0014469
1236,FBgn0014857
1237,FBgn0014861
1238,FBgn0014863
1239,FBgn0014865
1240,FBgn0014868
1241,FBgn0014869
1242,FBgn0014870
1243,FBgn0014877
1244,FBgn0014879
1245,FBgn0014906
1246,FBgn0014930
1247,FBgn0014931
1248,FBgn0015000
1249,FBgn0015011
1250,FBgn0015019
1251,FBgn0015024
1252,FBgn0015025
1253,FBgn0015031
1254,FBgn0015032
1255,FBgn0015033
1256,FBgn0015034
1257,FBgn0015035
1258,FBgn0015036
1259,FBgn0015037
1260,FBgn0015038
1261,FBgn0015039
1262,FBgn0015040
1263,FBgn0015075
1264,FBgn0015218
1265,FBgn0015221
1266,FBgn0015222
1267,FBgn0015229
1268,FBgn0015239
1269,FBgn0015240
1270,FBgn0015245
1271,FBgn0015247
1272,FBgn0015268
1273,FBgn0015269
1274,FBgn0015270
1275,FBgn0015271
1276,FBgn0015277
1277,FBgn0015278
1278,FBgn0015279
1279,FBgn0015282
1280,FBgn0015283
1281,FBgn0015286
1282,FBgn0015288
1283,FBgn0015295
1284,FBgn0015296
1285,FBgn0015298
1286,FBgn0015299
1287,FBgn0015316
1288,FBgn0015320
1289,FBgn0015321
1290,FBgn0015331
1291,FBgn0015336
1292,FBgn0015338
1293,FBgn0015351
1294,FBgn0015359
1295,FBgn0015360
1296,FBgn0015371
1297,FBgn0015372
1298,FBgn0015376
1299,FBgn0015379
1300,FBgn0015380
1301,FBgn0015381
1302,FBgn0015391
1303,FBgn0015393
1304,FBgn0015396
1305,FBgn0015399
1306,FBgn0015400
1307,FBgn0015402
1308,FBgn0015477
